subject,scan,first_onset
199453,GAMBLING,8.063
199958,GAMBLING,8.064
200008,GAMBLING,8.09
200311,GAMBLING,8.063
201515,GAMBLING,8.103
202719,GAMBLING,8.064
203418,GAMBLING,8.063
203923,GAMBLING,8.076
204319,GAMBLING,8.063
204521,GAMBLING,8.064
204622,GAMBLING,8.063
206222,GAMBLING,8.063
207123,GAMBLING,8.103
208125,GAMBLING,8.063
208327,GAMBLING,8.064
209228,GAMBLING,8.076
210415,GAMBLING,8.063
211215,GAMBLING,8.05
211316,GAMBLING,8.063
211922,GAMBLING,8.063
212015,GAMBLING,8.064
212419,GAMBLING,8.063
213421,GAMBLING,8.063
214524,GAMBLING,8.063
220721,GAMBLING,8.063
227432,GAMBLING,8.063
228434,GAMBLING,8.09
233326,GAMBLING,8.063
248339,GAMBLING,8.063
250932,GAMBLING,8.063
257542,GAMBLING,8.064
257845,GAMBLING,8.064
268850,GAMBLING,8.064
285446,GAMBLING,8.064
295146,GAMBLING,8.063
297655,GAMBLING,8.063
299154,GAMBLING,8.063
300618,GAMBLING,8.09
303119,GAMBLING,8.077
304727,GAMBLING,8.063
308331,GAMBLING,8.076
309636,GAMBLING,8.077
310621,GAMBLING,8.063
316633,GAMBLING,8.063
316835,GAMBLING,8.063
318637,GAMBLING,8.063
336841,GAMBLING,8.064
352132,GAMBLING,8.103
361941,GAMBLING,8.05
377451,GAMBLING,8.063
380036,GAMBLING,8.103
381038,GAMBLING,8.077
386250,GAMBLING,8.063
387959,GAMBLING,8.063
393247,GAMBLING,8.064
393550,GAMBLING,8.063
395251,GAMBLING,8.064
395756,GAMBLING,8.063
397154,GAMBLING,8.064
412528,GAMBLING,8.064
432332,GAMBLING,8.063
433839,GAMBLING,8.063
436845,GAMBLING,8.063
449753,GAMBLING,8.064
459453,GAMBLING,8.063
465852,GAMBLING,8.063
479762,GAMBLING,8.063
495255,GAMBLING,8.064
510326,GAMBLING,8.077
517239,GAMBLING,8.063
520228,GAMBLING,8.063
524135,GAMBLING,8.063
525541,GAMBLING,8.064
529549,GAMBLING,8.063
529953,GAMBLING,8.077
553344,GAMBLING,8.063
555348,GAMBLING,8.063
555651,GAMBLING,8.063
561444,GAMBLING,8.064
562345,GAMBLING,8.05
567052,GAMBLING,8.064
567961,GAMBLING,8.064
568963,GAMBLING,8.063
571144,GAMBLING,8.05
573249,GAMBLING,8.063
576255,GAMBLING,8.063
580044,GAMBLING,8.063
580751,GAMBLING,8.076
585256,GAMBLING,8.064
587664,GAMBLING,8.064
597869,GAMBLING,8.077
599065,GAMBLING,8.077
599671,GAMBLING,8.089
604537,GAMBLING,8.064
611938,GAMBLING,8.063
616645,GAMBLING,8.063
618952,GAMBLING,8.09
622236,GAMBLING,8.064
633847,GAMBLING,8.063
645450,GAMBLING,8.063
654350,GAMBLING,8.063
656253,GAMBLING,8.063
656657,GAMBLING,8.05
657659,GAMBLING,8.063
660951,GAMBLING,8.064
663755,GAMBLING,8.063
664757,GAMBLING,8.063
667056,GAMBLING,8.103
671855,GAMBLING,8.076
679568,GAMBLING,8.064
679770,GAMBLING,8.064
690152,GAMBLING,8.063
695768,GAMBLING,8.063
715950,GAMBLING,8.091
724446,GAMBLING,8.063
725751,GAMBLING,8.064
731140,GAMBLING,8.064
735148,GAMBLING,8.063
744553,GAMBLING,8.063
749058,GAMBLING,8.064
753150,GAMBLING,8.09
769064,GAMBLING,8.104
770352,GAMBLING,8.103
782561,GAMBLING,8.063
789373,GAMBLING,8.063
792867,GAMBLING,8.09
833249,GAMBLING,8.064
837560,GAMBLING,8.063
877269,GAMBLING,8.064
100206,LANGUAGE,0.217
100610,LANGUAGE,0.248
101006,LANGUAGE,0.239
101309,LANGUAGE,0.477
101915,LANGUAGE,0.376
102311,LANGUAGE,0.406
102513,LANGUAGE,0.27
106016,LANGUAGE,0.224
107321,LANGUAGE,0.257
107422,LANGUAGE,0.216
108121,LANGUAGE,0.423
108222,LANGUAGE,0.407
109830,LANGUAGE,0.226
110007,LANGUAGE,0.479
110613,LANGUAGE,0.214
112112,LANGUAGE,0.267
112314,LANGUAGE,0.276
112920,LANGUAGE,0.277
113922,LANGUAGE,0.215
116524,LANGUAGE,0.27
118124,LANGUAGE,0.238
118528,LANGUAGE,0.266
119126,LANGUAGE,0.227
121416,LANGUAGE,0.205
122822,LANGUAGE,0.23
124826,LANGUAGE,0.237
127630,LANGUAGE,0.272
129129,LANGUAGE,0.45
129634,LANGUAGE,0.289
130316,LANGUAGE,0.307
130417,LANGUAGE,0.271
131217,LANGUAGE,0.252
131823,LANGUAGE,0.277
132017,LANGUAGE,0.241
133019,LANGUAGE,0.479
134021,LANGUAGE,0.43
134223,LANGUAGE,0.319
134324,LANGUAGE,0.263
134425,LANGUAGE,0.266
134627,LANGUAGE,0.24
134728,LANGUAGE,0.218
135528,LANGUAGE,0.266
135730,LANGUAGE,0.221
136732,LANGUAGE,0.277
137229,LANGUAGE,0.349
137633,LANGUAGE,0.25
139233,LANGUAGE,0.271
139839,LANGUAGE,0.236
140117,LANGUAGE,0.245
141119,LANGUAGE,0.289
141826,LANGUAGE,0.474
144125,LANGUAGE,0.268
144731,LANGUAGE,0.218
146129,LANGUAGE,0.24
146432,LANGUAGE,0.272
146533,LANGUAGE,0.286
146937,LANGUAGE,0.224
147030,LANGUAGE,0.274
148133,LANGUAGE,0.418
149236,LANGUAGE,0.216
149842,LANGUAGE,0.239
150625,LANGUAGE,0.267
150928,LANGUAGE,0.258
152831,LANGUAGE,0.275
153227,LANGUAGE,0.254
154229,LANGUAGE,0.252
154532,LANGUAGE,0.232
154734,LANGUAGE,0.217
154835,LANGUAGE,0.435
154936,LANGUAGE,0.218
155635,LANGUAGE,0.221
155938,LANGUAGE,0.229
157942,LANGUAGE,0.284
159138,LANGUAGE,0.264
159340,LANGUAGE,0.34
159441,LANGUAGE,0.255
160830,LANGUAGE,0.222
162733,LANGUAGE,0.222
163331,LANGUAGE,0.305
163836,LANGUAGE,0.238
164030,LANGUAGE,0.218
164939,LANGUAGE,0.244
167238,LANGUAGE,0.388
168240,LANGUAGE,0.271
169949,LANGUAGE,0.213
170631,LANGUAGE,0.448
171633,LANGUAGE,0.254
172938,LANGUAGE,0.226
173435,LANGUAGE,0.24
173536,LANGUAGE,0.255
173738,LANGUAGE,0.332
173839,LANGUAGE,0.238
173940,LANGUAGE,0.264
175035,LANGUAGE,0.238
175237,LANGUAGE,0.229
175338,LANGUAGE,0.24
175742,LANGUAGE,0.237
176037,LANGUAGE,0.369
178950,LANGUAGE,0.215
179346,LANGUAGE,0.425
180129,LANGUAGE,0.215
181131,LANGUAGE,0.238
181232,LANGUAGE,0.235
181636,LANGUAGE,0.283
182436,LANGUAGE,0.242
183034,LANGUAGE,0.366
185442,LANGUAGE,0.245
186141,LANGUAGE,0.242
186444,LANGUAGE,0.238
187345,LANGUAGE,0.299
188448,LANGUAGE,0.403
188549,LANGUAGE,0.407
188751,LANGUAGE,0.364
189450,LANGUAGE,0.224
191033,LANGUAGE,0.239
192035,LANGUAGE,0.222
192136,LANGUAGE,0.458
192843,LANGUAGE,0.218
194645,LANGUAGE,0.254
194746,LANGUAGE,0.23
195445,LANGUAGE,0.269
195849,LANGUAGE,0.235
195950,LANGUAGE,0.231
197348,LANGUAGE,0.248
198249,LANGUAGE,0.235
198855,LANGUAGE,0.236
199453,LANGUAGE,0.235
199958,LANGUAGE,0.237
200008,LANGUAGE,0.263
200311,LANGUAGE,0.231
201515,LANGUAGE,0.273
202719,LANGUAGE,0.253
203418,LANGUAGE,0.234
203923,LANGUAGE,0.414
204319,LANGUAGE,0.24
204521,LANGUAGE,0.255
204622,LANGUAGE,0.322
206222,LANGUAGE,0.26
207123,LANGUAGE,0.225
208125,LANGUAGE,0.238
208327,LANGUAGE,0.274
209228,LANGUAGE,0.253
210415,LANGUAGE,0.22
211215,LANGUAGE,0.427
211316,LANGUAGE,0.266
211922,LANGUAGE,0.234
212015,LANGUAGE,0.24
212419,LANGUAGE,0.235
213421,LANGUAGE,0.288
214524,LANGUAGE,0.436
220721,LANGUAGE,0.258
227432,LANGUAGE,0.218
228434,LANGUAGE,0.386
233326,LANGUAGE,0.244
248339,LANGUAGE,0.24
250932,LANGUAGE,0.263
257542,LANGUAGE,0.249
257845,LANGUAGE,0.455
268850,LANGUAGE,0.237
285446,LANGUAGE,0.41
295146,LANGUAGE,0.451
297655,LANGUAGE,0.23
299154,LANGUAGE,0.45
300618,LANGUAGE,0.275
303119,LANGUAGE,0.398
304727,LANGUAGE,0.387
308331,LANGUAGE,0.281
309636,LANGUAGE,0.234
310621,LANGUAGE,0.288
316633,LANGUAGE,0.281
316835,LANGUAGE,0.234
318637,LANGUAGE,0.239
336841,LANGUAGE,0.265
352132,LANGUAGE,0.288
361941,LANGUAGE,0.252
377451,LANGUAGE,0.378
380036,LANGUAGE,0.453
381038,LANGUAGE,0.296
386250,LANGUAGE,0.206
387959,LANGUAGE,0.285
393247,LANGUAGE,0.477
393550,LANGUAGE,0.287
395251,LANGUAGE,0.46
395756,LANGUAGE,0.37
397154,LANGUAGE,0.485
412528,LANGUAGE,0.269
432332,LANGUAGE,0.237
433839,LANGUAGE,0.242
436845,LANGUAGE,0.224
449753,LANGUAGE,0.239
459453,LANGUAGE,0.239
465852,LANGUAGE,0.267
479762,LANGUAGE,0.277
495255,LANGUAGE,0.238
510326,LANGUAGE,0.336
517239,LANGUAGE,0.218
520228,LANGUAGE,0.28
524135,LANGUAGE,0.441
525541,LANGUAGE,0.237
529549,LANGUAGE,0.239
529953,LANGUAGE,0.448
553344,LANGUAGE,0.223
555348,LANGUAGE,0.354
555651,LANGUAGE,0.355
561444,LANGUAGE,0.279
562345,LANGUAGE,0.233
567052,LANGUAGE,0.255
567961,LANGUAGE,0.25
568963,LANGUAGE,0.25
571144,LANGUAGE,0.315
573249,LANGUAGE,0.273
576255,LANGUAGE,0.307
580044,LANGUAGE,0.241
580751,LANGUAGE,0.576
585256,LANGUAGE,0.258
587664,LANGUAGE,0.232
597869,LANGUAGE,0.262
599065,LANGUAGE,0.215
599671,LANGUAGE,0.237
604537,LANGUAGE,0.258
611938,LANGUAGE,0.248
616645,LANGUAGE,0.426
618952,LANGUAGE,0.261
622236,LANGUAGE,0.225
633847,LANGUAGE,0.249
645450,LANGUAGE,0.233
654350,LANGUAGE,0.255
656253,LANGUAGE,0.361
656657,LANGUAGE,0.291
657659,LANGUAGE,0.252
660951,LANGUAGE,0.238
663755,LANGUAGE,0.221
664757,LANGUAGE,0.24
667056,LANGUAGE,0.491
671855,LANGUAGE,0.22
679568,LANGUAGE,0.277
679770,LANGUAGE,0.221
690152,LANGUAGE,0.436
695768,LANGUAGE,0.218
715950,LANGUAGE,0.258
724446,LANGUAGE,0.254
725751,LANGUAGE,0.241
731140,LANGUAGE,0.485
735148,LANGUAGE,0.27
744553,LANGUAGE,0.223
749058,LANGUAGE,0.241
753150,LANGUAGE,0.432
769064,LANGUAGE,0.953
770352,LANGUAGE,0.371
782561,LANGUAGE,0.302
789373,LANGUAGE,0.295
792867,LANGUAGE,0.327
833249,LANGUAGE,0.219
837560,LANGUAGE,0.29
877269,LANGUAGE,0.264
100206,MOTOR,8.037
100610,MOTOR,8.036
101006,MOTOR,8.023
101309,MOTOR,8.036
101915,MOTOR,8.05
102311,MOTOR,8.024
102513,MOTOR,8.05
106016,MOTOR,8.036
107321,MOTOR,8.037
107422,MOTOR,8.037
108121,MOTOR,8.036
108222,MOTOR,8.037
109830,MOTOR,8.037
110007,MOTOR,8.037
110613,MOTOR,8.05
112112,MOTOR,8.037
112314,MOTOR,8.037
112920,MOTOR,8.037
113922,MOTOR,8.05
116524,MOTOR,8.037
118124,MOTOR,8.037
118528,MOTOR,8.05
119126,MOTOR,8.05
121416,MOTOR,8.05
122822,MOTOR,8.05
124826,MOTOR,8.037
127630,MOTOR,8.05
129129,MOTOR,8.05
129634,MOTOR,8.05
130316,MOTOR,8.037
130417,MOTOR,8.037
131217,MOTOR,8.037
131823,MOTOR,8.05
132017,MOTOR,8.037
133019,MOTOR,8.05
134021,MOTOR,8.05
134223,MOTOR,8.037
134324,MOTOR,8.024
134425,MOTOR,8.05
134627,MOTOR,8.036
134728,MOTOR,8.024
135528,MOTOR,8.036
135730,MOTOR,8.036
136732,MOTOR,8.05
137229,MOTOR,8.024
137633,MOTOR,8.05
139233,MOTOR,8.05
139839,MOTOR,8.05
140117,MOTOR,8.037
141119,MOTOR,8.037
141826,MOTOR,8.024
144125,MOTOR,8.037
144731,MOTOR,8.036
146129,MOTOR,8.036
146432,MOTOR,8.05
